50
30, 8
34, 10
34, 12
36, 23
33, 31
38, 31
30, 36
32, 36
33, 44
34, 48
1, 51
39, 51
6, 54
38, 54
39, 54
38, 56
9, 61
33, 62
3, 64
3, 70
36, 73
38, 74
5, 75
33, 76
31, 80
8, 82
9, 83
3, 85
0, 87
6, 87
3, 89
8, 91
1, 94
8, 94
1, 95
0, 98
9, 98
39, 105
32, 111
3, 117
7, 119
5, 121
2, 126
9, 127
0, 129
4, 130
5, 134
1, 135
7, 137
3, 140
39, 141
5, 143
3, 145
34, 147
7, 149
37, 154
37, 164
32, 166
32, 201
19, 202
15, 203
19, 205
12, 207
19, 208
13, 209
34, 209
30, 210
19, 211
12, 212
17, 212
35, 215
19, 219
18, 223
14, 224
17, 226
34, 226
15, 229
39, 230
19, 237
10, 238
13, 239
18, 240
10, 241
11, 243
19, 247
14, 248
16, 248
13, 250
13, 252
19, 252
10, 253
36, 256
13, 257
34, 259
15, 260
17, 261
19, 262
11, 263
13, 263
14, 263
17, 267
19, 273
12, 279
11, 280
12, 280
18, 282
15, 285
11, 286
12, 286
16, 290
34, 291
18, 295
32, 295
13, 297
14, 297
12, 298
39, 310
34, 318
37, 321
37, 338
39, 347
19, 354
11, 357
14, 357
32, 360
13, 362
18, 363
12, 365
14, 365
17, 365
19, 370
30, 370
11, 371
17, 374
18, 375
10, 376
33, 376
15, 377
17, 381
18, 383
17, 387
17, 391
19, 394
15, 396
19, 404
13, 405
35, 406
14, 408
14, 410
38, 412
10, 413
13, 414
16, 414
19, 414
16, 418
15, 419
10, 420
12, 421
18, 423
36, 425
18, 426
11, 436
13, 437
17, 437
14, 438
12, 440
33, 440
36, 440
19, 444
10, 445
39, 445
18, 447
17, 449
34, 459
37, 467
38, 479
37, 492
7, 500
31, 500
33, 500
1, 502
1, 506
3, 507
9, 507
0, 508
2, 510
9, 513
9, 520
7, 521
1, 523
2, 524
4, 524
0, 525
9, 525
38, 526
7, 527
0, 528
3, 528
0, 530
2, 530
1, 532
37, 533
36, 535
7, 536
34, 536
2, 541
7, 547
32, 547
1, 550
8, 554
1, 556
3, 560
3, 561
32, 561
8, 564
9, 564
4, 566
7, 569
32, 571
2, 572
3, 572
36, 573
0, 578
0, 579
2, 580
8, 585
3, 587
0, 589
3, 592
3, 593
3, 594
2, 595
0, 596
1, 596
3, 598
37, 604
30, 609
35, 610
36, 613
30, 631
36, 640
34, 641
2, 650
38, 651
0, 653
36, 653
6, 657
9, 657
0, 658
7, 659
6, 662
8, 663
0, 667
4, 668
2, 671
3, 671
36, 672
2, 673
37, 673
31, 682
32, 684
8, 685
37, 688
0, 689
2, 689
6, 690
9, 694
2, 696
2, 697
8, 697
37, 699
2, 700
3, 702
5, 704
9, 704
2, 706
0, 713
1, 713
7, 715
33, 715
9, 716
4, 717
37, 719
5, 720
3, 721
7, 721
9, 721
2, 722
3, 722
38, 723
2, 724
4, 726
35, 727
1, 728
6, 729
1, 730
4, 730
4, 731
9, 731
1, 733
6, 738
0, 742
1, 744
32, 773
35, 787
39, 790
30, 798
34, 798
11, 802
11, 803
13, 805
14, 807
38, 810
19, 813
16, 814
10, 815
17, 815
12, 816
15, 821
10, 823
39, 826
13, 831
18, 833
15, 837
15, 839
10, 842
13, 844
16, 848
11, 854
13, 855
16, 855
18, 856
34, 856
12, 858
16, 858
30, 858
13, 862
16, 862
36, 864
15, 867
18, 867
13, 870
19, 872
39, 872
36, 875
17, 876
11, 880
15, 884
36, 884
37, 888
18, 889
31, 889
18, 890
34, 890
18, 893
15, 895
10, 896
15, 897
18, 897
14, 898
39, 909
34, 923
31, 933
39, 940
37, 949
0, 951
1, 952
9, 953
5, 954
6, 955
0, 957
4, 966
4, 969
38, 969
37, 970
8, 972
0, 975
1, 976
2, 982
9, 982
36, 984
9, 988
2, 991
35, 991
5, 993
35, 993
1, 996
8, 996
33, 999
4, 1001
34, 1002
1, 1007
7, 1007
3, 1009
1, 1012
6, 1013
7, 1013
8, 1013
35, 1013
8, 1014
1, 1017
2, 1017
2, 1020
35, 1024
0, 1026
1, 1029
1, 1031
0, 1032
3, 1032
6, 1034
2, 1040
3, 1043
9, 1043
9, 1044
6, 1045
4, 1048
6, 1048
35, 1048
36, 1062
34, 1063
33, 1070
37, 1072
37, 1076
35, 1082
37, 1082
31, 1097
38, 1098
30, 1102
33, 1135
37, 1197
37, 1209
35, 1210
35, 1214
39, 1238
32, 1239
35, 1245
35, 1253
31, 1256
33, 1277
34, 1283
33, 1286
30, 1302
39, 1307
38, 1312
30, 1332
37, 1341
39, 1351
36, 1354
35, 1372
36, 1379
33, 1390
31, 1400
30, 1415
39, 1424
32, 1439
